idx,actual,predicted,prob_X1,prob_diff,misclassified,error_type,validation_type,numCrash,log_exp,DOWNTOWN_Y,Presence.of.stop.sign,Presence.of.curve.sign,Presence.of.vehicle.sign,Roadway.segment.count,TradeLandUse,ServiceLandUse,RecreationalLandUse,UnderdevelopedLandUse,Total.sidewalk.length..ft.,TransportationLandUse,crsh_oddyr,crsh_eveny,crash
4057,X1,X0,0.2495427131652832,0.7504572868347168,TRUE,False Negative,temporal,1,1.219946895558443,0,1,0,0,3,0,0.031868754,0,0.035301973,0.9264208459,0,NA,NA,NA
8515,X0,X1,0.7504041790962219,0.7504041790962219,TRUE,False Positive,temporal,1,0.229621275821783,0,1,0,0,4,0.1702394,0.03985413,0.09638156,0.1994175,0.6787594,0.10157,0,1,1
5288,X0,X1,0.7503424286842346,0.7503424286842346,TRUE,False Positive,temporal,0,2.498663585919505,0,1,0,1,3,0.049211604,0.097790693,0.01334474,0.028972848,0.9700191,0,NA,NA,NA
1167,X1,X0,0.24984276294708252,0.7501572370529175,TRUE,False Negative,temporal,1,1.320207504861908,0,1,0,0,3,0.028396693,0.025601939,0,0.122841005,1.158737665,0,NA,NA,NA
11303,X0,X1,0.7500253915786743,0.7500253915786743,TRUE,False Positive,temporal,0,2.723465523405759,0,1,0,0,4,0.054296016,0.236162896,0.016279289,0.202444171,0.8807354,9.683809999999999e-4,NA,NA,NA
10705,X0,X1,0.7500143647193909,0.7500143647193909,TRUE,False Positive,temporal,0,2.559716379160302,0,1,0,0,4,0.06535616,0.1970341,0.002219021,0.1320175,1.178814,0,NA,NA,NA
3805,X0,X1,0.7497610151767731,0.7497610151767731,TRUE,False Positive,temporal,0,2.671324385529981,0,0,0,0,4,0.039280796,0.236664587,6.1839e-4,0.092939418,1.188953084,0,NA,NA,NA
10815,X0,X1,0.7496090531349182,0.7496090531349182,TRUE,False Positive,temporal,0,2.251741201080577,0,1,0,1,4,0.08661992,0.08491303,0.07045889,0.04386113,1.144061,0.004409675,NA,NA,NA
5261,X0,X1,0.7491345405578613,0.7491345405578613,TRUE,False Positive,temporal,0,3.08279412147118,0,1,0,0,4,0.02920028,0.008816783,0.06868463,0.1017408,1.02268,0,0,0,0
4833,X1,X0,0.2509182095527649,0.7490817904472351,TRUE,False Negative,temporal,2,1.270518811784867,0,1,0,0,3,0.026008597,0.03553292,0.020310403,0.080345289,0.8423807763,0.001886334,NA,NA,NA
